config	function	start	end	candidate_size	stock_size	size_delta	raw_match	normalized_match	candidate_sha256	stock_sha256	candidate_normalized_sha256	stock_normalized_sha256
Os	WsfOsInit	0x0052b9b2	0x0052b9d0	36	30	6	no	no	0fe91eb687d5fa3a2d7f6aff534da65ddf1eb17ea1713c1bea786100375b2cb2	f9c905e97f08e91afc84d8c6df9ed24e71e26accbea503f8f423f98e8e8ff6bb	aca457a163c6568689070a24d0e3ce58679dff35690390f6757ee821a118e14c	9a0606e882bde29307699799161a591e273941b5e42466ad9f77c1418086a549
Os	wsfOsDispatcher	0x0052b9d0	0x0052bab8	220	232	-12	no	no	99bebe3d008a8150cbd96adc91e5b0d61ef64072bcbd9febe662d02d175caba8	49ba08ce0c35eb58c098babd1ad0e4d68c303c67bf8e2543be552511732474d8	7676bdb049f0139ce625c4ff3ae2592f349f696e4a7f7fbf5b7d39d583fe88f2	c52f0e9655fc23f90c04e7533369fcb2b5f4ae5dcf6b1d4a95e6a216b5dd0d73
Os_nosibling	WsfCsEnter	0x0052b8a4	0x0052b8b6	20	18	2	no	no	a464935bb4a215dd4d4ccbaccfb097dd9ab642d08ddee22ffdd6175ead85c4d5	e0ff3f4fa338e939616823c70ae7fc13df075b7de32178db2810cf9eb39edb87	c887acb81ca0b9ea613266bb374ab4c5c69a0b9c90bcb2ffd4e07079a762f208	ecaf8feb6f26e60789b06550c8f5d908cf7d6913e4d9d2e720cf316635ebaca0
Os_nosibling	WsfCsExit	0x0052b8b6	0x0052b8c8	20	18	2	no	no	7584e545533ab7411e3dc3b352c1c8003a829aa1659db54076aabd2171404cf1	8685a9a54cba4040bb297f58f5bc9e0d5beed1f46a7159363edc8f80648e824c	4e752b0261b87b14410e6130ba811bd20b7ef961db4c244020edc1f54815e4bd	73e498637a31e7c030c730926d7834c10dc05c3f4c0cbf655a3556e4b43d9ce6
Os_nosibling	WsfTaskLock	0x0052b8c8	0x0052b8d0	8	8	0	no	no	bcf32a2422f679d984c910bebd3c2a13d9880efa63e60a70a2c5d7bfa5822f3c	4ae68a8cc15e75c482171f6fdd1e56d9bf7a9a787f56a9761e89af9833911f02	de7e4817d86b32d327116a06b269cd1399d6ce33027c5f6da8b7226f066d0cfe	022696e747ab8995c84888fefe1e49b1538690e052ef6bcbb4af6d0c94541069
Os_nosibling	WsfTaskUnlock	0x0052b8d0	0x0052b8d8	8	8	0	no	no	bcf32a2422f679d984c910bebd3c2a13d9880efa63e60a70a2c5d7bfa5822f3c	19785a8c5eb6c2e10cd274c554a5d7d1b649a94433f558511c02cdb5405397a1	de7e4817d86b32d327116a06b269cd1399d6ce33027c5f6da8b7226f066d0cfe	022696e747ab8995c84888fefe1e49b1538690e052ef6bcbb4af6d0c94541069
Os_nosibling	WsfSetOsSpecificEvent	0x0052b8d8	0x0052b91e	88	70	18	no	no	67c48023f5325cb64dc0a008399369d10c0d03762880988c246a29bf9b573dc1	a7a1285078ac515a4fea7ad18a50ab44ec84ba9f1c39e07df875dfa0f8681465	b97aa606c65493012ef7c29ebf84e535afc9c8642e695c7b0eab30b90b7cdadb	5bab032b9a03b5da1e125a9f2f46925b105b213fc0e1b627f14929a7e3c1310e
Os_nosibling	WsfSetEvent	0x0052b91e	0x0052b95e	52	64	-12	no	no	cf2d2bdd68a424dfea0b5109e42509a8fcb0260e7ee3601c507eedda88b8743c	62fda22da8f5aec6255e52e820a4570a593fa4637a710ce93ebfbdca428f7db8	62be9299097cf7d121e9da6dc8b14097bfe3c79c9753c0793648c18b50e9c484	724f5a993959a0c2b9228dcf808ca0727989c8c92002333808523bc1b8e9945d
Os_nosibling	WsfTaskSetReady	0x0052b95e	0x0052b97c	32	30	2	no	no	fc6ec9e763dc40d507bebabf480eaf336d3e902655744b983d9da4243687054b	feaf10178e32248aebd53109fd9c1a95e1d757484102fc7a775203160e257ff7	123e824f24fb818fe42a4e5e7cb8b3ccbff3d75efe1ea77158c27290bef0af49	0639a0781d3e05d201e72ada9ed84a87c59621cfa0099c68397bebe84ed90129
Os_nosibling	WsfTaskMsgQueue	0x0052b97c	0x0052b980	8	4	4	no	no	b24a6a06ea56f14b365afa39f17bf619a2ba1f01fd6dcb230a6766808f254129	c38df642688ef2e1df139d8ba9e7854fe109c68c84bfe8e97010f955fa56291b	811975cc17d6492abc70ae177d2d51b6ec28b8ff47b257e62a4b91f912f4d853	df329c59cf0ae884d28a341c86d7f784817e685c5d35445414c5570c45e4ee46
Os_nosibling	WsfOsSetNextHandler	0x0052b980	0x0052b99e	24	30	-6	no	no	6385a0ff3aa59296e509cdc61f4312c60399566d21b8ab33e588bcfa05a76a27	614f7f6c030d12ac7cb0ace224d26318a3089bc47a0d1fc24a17cf51cb7a396b	60aad898690301fd400b22eb02985738dd2839f95fc3a8ffcf5a5dc6df41c677	6f20c8e8b4cca9a3c57d5215c9a15858808a9905762264a6bd8c8961694d4f02
Os_nosibling	wsfOsReadyToSleep	0x0052b99e	0x0052b9b2	20	20	0	no	no	37b721ba51ea2522d0cf154cfb3e62c0b47c30d44ec790930c4c0ccf2c47043e	633892695925666e4dc9d7d89588807653985ae2321217b58b5c215bb6ab6ebc	31de7ed6c3bd3bf4192c2b42add91ae21bf395f71abdd7932a8861704177069b	2ee7fe67a3ef343a69cf87889f2316f44515d27ec5c6d70f7c699b49eca4fb5a
Os_nosibling	WsfOsInit	0x0052b9b2	0x0052b9d0	36	30	6	no	no	0fe91eb687d5fa3a2d7f6aff534da65ddf1eb17ea1713c1bea786100375b2cb2	f9c905e97f08e91afc84d8c6df9ed24e71e26accbea503f8f423f98e8e8ff6bb	aca457a163c6568689070a24d0e3ce58679dff35690390f6757ee821a118e14c	9a0606e882bde29307699799161a591e273941b5e42466ad9f77c1418086a549
Os_nosibling	wsfOsDispatcher	0x0052b9d0	0x0052bab8	220	232	-12	no	no	99bebe3d008a8150cbd96adc91e5b0d61ef64072bcbd9febe662d02d175caba8	49ba08ce0c35eb58c098babd1ad0e4d68c303c67bf8e2543be552511732474d8	7676bdb049f0139ce625c4ff3ae2592f349f696e4a7f7fbf5b7d39d583fe88f2	c52f0e9655fc23f90c04e7533369fcb2b5f4ae5dcf6b1d4a95e6a216b5dd0d73
