# schema=openCFW-lorelei-cordio-wsf-current11-matrix-v2
# source_sha256=def199a7179981092894a10627a243c121c7cf221fd35b6ecd9423e1cf600223
# header_sha256=ec4b58fca5019c11aea47a56b5c0ad02313112d9289862cc2bf0af145796b2f3
# prior_source_sha256=4076f5927ca748ca1215bbd3d409d2799b34e16d820abd874a9c30f95747d791
# container_tag=opencfw-arm-gcc:13.2-rel1
# container_id=sha256:4bf18d22a8e9e1dffa4c21ea1ba44decf7a88a4a2e9c766e47c523f4bef26db0
# compiler=arm-none-eabi-gcc 13.2.1 20231009 package 15:13.2.rel1-2
# matrix_elapsed_ns=2448108512
config	function	stock_start	stock_end	candidate_symbol	candidate_size	stock_size	size_delta	raw_match	normalized_match	candidate_sha256	normalized_sha256	compile_ns	link_ns	module_object_sha256	linked_elf_sha256	module_object_identical_to_prior	linked_elf_identical_to_prior
Og_nosibling	WsfTimerNextExpiration	0x0052a51a	0x0052a542	open_cfw_cordio_wsf_timer_next_expiration_candidate	40	40	0	no	no	b8d2a4a138c95586319bd570cc5f5da7af9efac69146fb918ab37bce1bead6b4	a01e89fb17156e75c7d491fe11b9a228914be11b58e5b1c03180905e8ce9d1e2	59554152	14278629	830dbb713490ebb1a559221bd5ebf68e3ca8d54e5d244269baa8c05a926567e0	555440868f06252996352e58ae57e150d8652fa946f075696b5e02a9add7d17d	yes	yes
Og_nosibling	WsfTimerServiceExpired	0x0052a542	0x0052a574	open_cfw_cordio_wsf_timer_service_expired_candidate	52	50	2	no	no	2ae8d2b6ddc721452e1d1408dcecfb3aae3904aa359650c376f415385507c571	b9027368a871f2bec0f9767127c8e341fd89ffcff28e113fc9dcd00ecd5d7876	59554152	14278629	830dbb713490ebb1a559221bd5ebf68e3ca8d54e5d244269baa8c05a926567e0	555440868f06252996352e58ae57e150d8652fa946f075696b5e02a9add7d17d	yes	yes
Og_nosibling	WsfTimerUpdateTicks	0x0052a574	0x0052a614	open_cfw_cordio_wsf_timer_update_ticks_candidate	116	160	-44	no	no	822773cd282ee12d03cb0fa2a5e1758e43b37f2496e6d9582bc773ea7be4be8d	316d58bb5887283966a9b78d63d392316ead459276d4c8e7311454c26e1d917b	59554152	14278629	830dbb713490ebb1a559221bd5ebf68e3ca8d54e5d244269baa8c05a926567e0	555440868f06252996352e58ae57e150d8652fa946f075696b5e02a9add7d17d	yes	yes
O2	wsfTimerRemove	0x0052a3fc	0x0052a424	open_cfw_cordio_wsf_timer_remove_candidate	52	40	12	no	no	e30201b72da8676ecb9ccd44dad263c36144afedcf01b687954de8fac224bf94	ca331e271fb0edcfce33b310663743318ef548b3af5f393e6d67c7cdfb1d99ab	90581062	15027530	033435afbc6620d9a39929e9b728a56dd4423abb525756fc6403061968e8b06c	7bc3b1a79f0326eb76cd0d054d8000c44961cbb021f288f22b13fb7821b68979	yes	yes
O2	wsfTimerInsert	0x0052a424	0x0052a468	open_cfw_cordio_wsf_timer_insert_candidate	124	68	56	no	no	a5f31d6797d69dedfff7a3f9a2b9b3c7f4034278da4d0ec7e0c18c0cc4df4e54	cd45e940b3aa2b5a786e531064ac86da214c6db79f00dec1c0c8d6588eb86f7b	90581062	15027530	033435afbc6620d9a39929e9b728a56dd4423abb525756fc6403061968e8b06c	7bc3b1a79f0326eb76cd0d054d8000c44961cbb021f288f22b13fb7821b68979	yes	yes
O2	WsfTimer_handler	0x0052a468	0x0052a474	open_cfw_cordio_wsf_timer_callback_candidate	8	12	-4	no	no	83db05db1abf34eed4f84b1f4afddccb1af5242ca20efd37c6d4bb705258a7ba	1ba9e3669037a0d539873ff4ee5d4aaf32a7ce9848de1d245ae93bacb88f63e9	90581062	15027530	033435afbc6620d9a39929e9b728a56dd4423abb525756fc6403061968e8b06c	7bc3b1a79f0326eb76cd0d054d8000c44961cbb021f288f22b13fb7821b68979	yes	yes
O2	WsfTimerInit	0x0052a474	0x0052a4b8	open_cfw_cordio_wsf_timer_init_candidate	84	68	16	no	no	977ef1187bfa7abf1bc8c1ace669122fccf7fe885502ee7c5465a5142fd8c71b	c8b4948735b98b80a2adb03ce5cebc9cc95fc10358e6aec7cd38207d3c04e790	90581062	15027530	033435afbc6620d9a39929e9b728a56dd4423abb525756fc6403061968e8b06c	7bc3b1a79f0326eb76cd0d054d8000c44961cbb021f288f22b13fb7821b68979	yes	yes
O2	WsfTimerStartSec	0x0052a4b8	0x0052a4c4	open_cfw_cordio_wsf_timer_start_sec_candidate	12	12	0	no	no	5e6572156f4218e73c7cbb5fbf676a4673f332f4b1d2cb4b0f7239a01e205767	7fc51aea97ad07bfd79c9e7c21a6e76a912e04563113306b7b69c73b9629c105	90581062	15027530	033435afbc6620d9a39929e9b728a56dd4423abb525756fc6403061968e8b06c	7bc3b1a79f0326eb76cd0d054d8000c44961cbb021f288f22b13fb7821b68979	yes	yes
O2	WsfTimerStartMs	0x0052a4c4	0x0052a4d2	open_cfw_cordio_wsf_timer_start_ms_candidate	16	14	2	no	no	055ffcb8d9d3804731c555f07382199eb662ae261c7cdc6bfafe0613d3005fd0	5c30d8252517b90e26f97a5d72ea70c63e4171530230d5a1adda1811a6e70548	90581062	15027530	033435afbc6620d9a39929e9b728a56dd4423abb525756fc6403061968e8b06c	7bc3b1a79f0326eb76cd0d054d8000c44961cbb021f288f22b13fb7821b68979	yes	yes
O2	WsfTimerStop	0x0052a4d2	0x0052a4e6	open_cfw_cordio_wsf_timer_stop_candidate	68	20	48	no	no	389ba0d9fbd15b6ac9dff86225cda606e6c81b654b6ce06f0747247ab70022bb	eb898fd12cabd3235ed319bcfd4472072bddfdbe7758b08a54dc877b3230ba0d	90581062	15027530	033435afbc6620d9a39929e9b728a56dd4423abb525756fc6403061968e8b06c	7bc3b1a79f0326eb76cd0d054d8000c44961cbb021f288f22b13fb7821b68979	yes	yes
