config	function	candidate_size	stock_size	size_delta	raw_match	normalized_match	candidate_sha256	normalized_sha256
O2	WsfTimerNextExpiration	48	40	8	no	no	72216045799c0e7db95f6f3a1d4ef4a24df9da1374c0be03f9f41c84180cdbb3	4be1b82de1c8ec43a54f514d3d23da1f00e0852ff17113d88ef48caa004c1940
O2	WsfTimerServiceExpired	48	50	-2	no	no	4aa186a9516a5828b5242fb0e364e98b5f6057f25af14e0e1cbff1dd99571355	e38b294b88b6dc028b36c5413c70a2efae4c8af677e954cdab4dc3f9eb5738c3
O2	WsfTimerUpdateTicks	208	160	48	no	no	20312c042837619a5fd98c12b73e64e9222afe312a5ab6876c1490f615e5af0d	8d4634d478a59c419b8722a78472a79362325794c12d13700fd6ec242415d828
O2_noinline	wsfTimerRemove	52	40	12	no	no	e30201b72da8676ecb9ccd44dad263c36144afedcf01b687954de8fac224bf94	ca331e271fb0edcfce33b310663743318ef548b3af5f393e6d67c7cdfb1d99ab
O2_noinline	wsfTimerInsert	72	68	4	no	no	06697f3049b90c0c45e9c871160db5604b9c3dd73af23d2fd4b38976ea7f005a	b2f8e6c60d8bdb16a76b4946bbaac573d8b278c4a846febe8b0fd7ce75f0816b
O2_noinline	WsfTimer_handler	8	12	-4	no	no	83db05db1abf34eed4f84b1f4afddccb1af5242ca20efd37c6d4bb705258a7ba	1ba9e3669037a0d539873ff4ee5d4aaf32a7ce9848de1d245ae93bacb88f63e9
O2_noinline	WsfTimerInit	84	68	16	no	no	977ef1187bfa7abf1bc8c1ace669122fccf7fe885502ee7c5465a5142fd8c71b	c8b4948735b98b80a2adb03ce5cebc9cc95fc10358e6aec7cd38207d3c04e790
O2_noinline	WsfTimerStartSec	12	12	0	no	no	5e6572156f4218e73c7cbb5fbf676a4673f332f4b1d2cb4b0f7239a01e205767	7fc51aea97ad07bfd79c9e7c21a6e76a912e04563113306b7b69c73b9629c105
O2_noinline	WsfTimerStartMs	16	14	2	no	no	055ffcb8d9d3804731c555f07382199eb662ae261c7cdc6bfafe0613d3005fd0	5c30d8252517b90e26f97a5d72ea70c63e4171530230d5a1adda1811a6e70548
O2_noinline	WsfTimerStop	24	20	4	no	no	ebf0040c296ce098ddeb3f7b10586ea799f9ff8219ddcc83c2376c31c21cff94	232ec34dea8c445b2a11ea2f800dfeaff712064813a8e942d9a001bb73863edd
