lane	variant	config	function	start	end	candidate_symbol	evidence	candidate_size	stock_size	size_delta	raw_match	strict_normalized_match	candidate_sha256	stock_sha256	candidate_normalized_sha256	stock_normalized_sha256	compile_ns	link_ns	object_sha256	linked_sha256
archive_notrace__O3	archive_notrace	O3	WsfBufFree	0x005304D4	0x00530512	WsfBufFree	free-magic/config discriminator and 28 direct BL callers	76	62	14	no	no	27d7aad0a6744df536ed2268375d59bff5fc754faeeb9eea2c890fc99d8741c2	6148f827458d86f257dc4ac8eab53f4eeb9372912249d1181fc835861b5a058f	db007e259af7ac4e343cc575eab7746a53069241413a3ad22aedb591c65d0338	7684f052fad8dc6df2e27944a16ace31d5248164b6492f84b0e99737e7a74764	75737041	10161413	bbc7e70bd18f6dd61f4ccd684d2ec492a3508938919494ffad1b6f484e73c0fa	06eaed2bd8414baef6ad56e6e058dcf338030d6899ba7c3ce154024b40f4456d
archive_notrace__O3_noinline	archive_notrace	O3_noinline	WsfBufInit	0x00530364	0x00530446	WsfBufInit	source-order semantics, globals/literals, sole BL caller 0x004B7F7C	216	226	-10	no	no	c881081180b89ecbefcc279f5789f918d83a04028785335612cb1ad0c06d93ad	a12554f557b86906d3442ef2ba4a69d33c433d5e226d5976c1b1767140fc5605	b69b2a9329635e3fc73da0db13ac0b02e0c7612516ce550a5271a24fd53cd595	edbff8a0b6e13119e93c7408f42a6d7d186713ec06a3159e678d4b895242be61	79435638	10386237	bbc7e70bd18f6dd61f4ccd684d2ec492a3508938919494ffad1b6f484e73c0fa	06eaed2bd8414baef6ad56e6e058dcf338030d6899ba7c3ce154024b40f4456d
archive_notrace__O3_noinline	archive_notrace	O3_noinline	WsfBufAlloc	0x00530446	0x005304D4	WsfBufAlloc	retained source-path/line-321 anchor and 24 direct BL callers	84	142	-58	no	no	63ba0aad5b7a48cd479a98882eef51c891b2414944275b1de45a7a2ec276ef12	307ff7ddc2830031087eff4c703949a9974deb2e81efe9cd4334b06c35d57d48	6a06562557f3b26b62538391519ca2460f5a9b311ed80dc3a3bccf28b70a34f6	117076ee53726b6554d0d05c41665a351615d0e744793fa05437f5a45ccb6151	79435638	10386237	bbc7e70bd18f6dd61f4ccd684d2ec492a3508938919494ffad1b6f484e73c0fa	06eaed2bd8414baef6ad56e6e058dcf338030d6899ba7c3ce154024b40f4456d
archive_notrace__O3_noinline	archive_notrace	O3_noinline	WsfBufFree	0x005304D4	0x00530512	WsfBufFree	free-magic/config discriminator and 28 direct BL callers	76	62	14	no	no	27d7aad0a6744df536ed2268375d59bff5fc754faeeb9eea2c890fc99d8741c2	6148f827458d86f257dc4ac8eab53f4eeb9372912249d1181fc835861b5a058f	db007e259af7ac4e343cc575eab7746a53069241413a3ad22aedb591c65d0338	7684f052fad8dc6df2e27944a16ace31d5248164b6492f84b0e99737e7a74764	79435638	10386237	bbc7e70bd18f6dd61f4ccd684d2ec492a3508938919494ffad1b6f484e73c0fa	06eaed2bd8414baef6ad56e6e058dcf338030d6899ba7c3ce154024b40f4456d
archive_notrace__Os	archive_notrace	Os	WsfBufInit	0x00530364	0x00530446	WsfBufInit	source-order semantics, globals/literals, sole BL caller 0x004B7F7C	164	226	-62	no	no	3e4665d872225688634209ec8c7c841f5fd327573374ca972ec41a03c86506c8	a12554f557b86906d3442ef2ba4a69d33c433d5e226d5976c1b1767140fc5605	7b83fc292ebba92a4113013dba3e7b483a32784c5d23e7bd5f4c91f2cb89c86f	edbff8a0b6e13119e93c7408f42a6d7d186713ec06a3159e678d4b895242be61	71192539	11225908	6002826f45b1812457a60fff80623b458d486a6c71ba2abf458f615fe6e054d2	08e1f2d3988be7e3cc1789a0046501ef68627c066203c83fbe921b33300fc1fd
archive_notrace__Os	archive_notrace	Os	WsfBufAlloc	0x00530446	0x005304D4	WsfBufAlloc	retained source-path/line-321 anchor and 24 direct BL callers	68	142	-74	no	no	56b1ab507866538be53cc6d2abea0812e7a492ad69ecb262bd68aff86093ec3b	307ff7ddc2830031087eff4c703949a9974deb2e81efe9cd4334b06c35d57d48	270089cc32cc33d1a1c172fe3a0dc149b5001b9ff7553a77c338d95161a7d198	117076ee53726b6554d0d05c41665a351615d0e744793fa05437f5a45ccb6151	71192539	11225908	6002826f45b1812457a60fff80623b458d486a6c71ba2abf458f615fe6e054d2	08e1f2d3988be7e3cc1789a0046501ef68627c066203c83fbe921b33300fc1fd
archive_notrace__Os	archive_notrace	Os	WsfBufFree	0x005304D4	0x00530512	WsfBufFree	free-magic/config discriminator and 28 direct BL callers	68	62	6	no	no	6625af60779d8e787595b40972e0b6b2151958d0190230dc8a5539579d01fc47	6148f827458d86f257dc4ac8eab53f4eeb9372912249d1181fc835861b5a058f	c403a20df78f86a5dab3b52e9b674bfc701a7b92c93d1f44df0784d186970663	7684f052fad8dc6df2e27944a16ace31d5248164b6492f84b0e99737e7a74764	71192539	11225908	6002826f45b1812457a60fff80623b458d486a6c71ba2abf458f615fe6e054d2	08e1f2d3988be7e3cc1789a0046501ef68627c066203c83fbe921b33300fc1fd
archive_notrace__Os_noinline	archive_notrace	Os_noinline	WsfBufInit	0x00530364	0x00530446	WsfBufInit	source-order semantics, globals/literals, sole BL caller 0x004B7F7C	164	226	-62	no	no	3e4665d872225688634209ec8c7c841f5fd327573374ca972ec41a03c86506c8	a12554f557b86906d3442ef2ba4a69d33c433d5e226d5976c1b1767140fc5605	7b83fc292ebba92a4113013dba3e7b483a32784c5d23e7bd5f4c91f2cb89c86f	edbff8a0b6e13119e93c7408f42a6d7d186713ec06a3159e678d4b895242be61	73706155	10729232	6002826f45b1812457a60fff80623b458d486a6c71ba2abf458f615fe6e054d2	08e1f2d3988be7e3cc1789a0046501ef68627c066203c83fbe921b33300fc1fd
archive_notrace__Os_noinline	archive_notrace	Os_noinline	WsfBufAlloc	0x00530446	0x005304D4	WsfBufAlloc	retained source-path/line-321 anchor and 24 direct BL callers	68	142	-74	no	no	56b1ab507866538be53cc6d2abea0812e7a492ad69ecb262bd68aff86093ec3b	307ff7ddc2830031087eff4c703949a9974deb2e81efe9cd4334b06c35d57d48	270089cc32cc33d1a1c172fe3a0dc149b5001b9ff7553a77c338d95161a7d198	117076ee53726b6554d0d05c41665a351615d0e744793fa05437f5a45ccb6151	73706155	10729232	6002826f45b1812457a60fff80623b458d486a6c71ba2abf458f615fe6e054d2	08e1f2d3988be7e3cc1789a0046501ef68627c066203c83fbe921b33300fc1fd
archive_notrace__Os_noinline	archive_notrace	Os_noinline	WsfBufFree	0x005304D4	0x00530512	WsfBufFree	free-magic/config discriminator and 28 direct BL callers	68	62	6	no	no	6625af60779d8e787595b40972e0b6b2151958d0190230dc8a5539579d01fc47	6148f827458d86f257dc4ac8eab53f4eeb9372912249d1181fc835861b5a058f	c403a20df78f86a5dab3b52e9b674bfc701a7b92c93d1f44df0784d186970663	7684f052fad8dc6df2e27944a16ace31d5248164b6492f84b0e99737e7a74764	73706155	10729232	6002826f45b1812457a60fff80623b458d486a6c71ba2abf458f615fe6e054d2	08e1f2d3988be7e3cc1789a0046501ef68627c066203c83fbe921b33300fc1fd
archive_notrace__Os_nosibling	archive_notrace	Os_nosibling	WsfBufInit	0x00530364	0x00530446	WsfBufInit	source-order semantics, globals/literals, sole BL caller 0x004B7F7C	164	226	-62	no	no	3e4665d872225688634209ec8c7c841f5fd327573374ca972ec41a03c86506c8	a12554f557b86906d3442ef2ba4a69d33c433d5e226d5976c1b1767140fc5605	7b83fc292ebba92a4113013dba3e7b483a32784c5d23e7bd5f4c91f2cb89c86f	edbff8a0b6e13119e93c7408f42a6d7d186713ec06a3159e678d4b895242be61	69005890	11473114	6fee49293e0d316b2b337f56bc3dfc27895b0aa55a117dda695dd39085ad1f21	02b9399e46ff42b3e1c7400475747138b1ec4a684ef88c3ebc21a9073fb2532e
archive_notrace__Os_nosibling	archive_notrace	Os_nosibling	WsfBufAlloc	0x00530446	0x005304D4	WsfBufAlloc	retained source-path/line-321 anchor and 24 direct BL callers	68	142	-74	no	no	56b1ab507866538be53cc6d2abea0812e7a492ad69ecb262bd68aff86093ec3b	307ff7ddc2830031087eff4c703949a9974deb2e81efe9cd4334b06c35d57d48	270089cc32cc33d1a1c172fe3a0dc149b5001b9ff7553a77c338d95161a7d198	117076ee53726b6554d0d05c41665a351615d0e744793fa05437f5a45ccb6151	69005890	11473114	6fee49293e0d316b2b337f56bc3dfc27895b0aa55a117dda695dd39085ad1f21	02b9399e46ff42b3e1c7400475747138b1ec4a684ef88c3ebc21a9073fb2532e
archive_notrace__Os_nosibling	archive_notrace	Os_nosibling	WsfBufFree	0x005304D4	0x00530512	WsfBufFree	free-magic/config discriminator and 28 direct BL callers	64	62	2	no	no	e4929eeb18564d2427d1effeb7a0eca99056999aee1a21fc7b6429051082100b	6148f827458d86f257dc4ac8eab53f4eeb9372912249d1181fc835861b5a058f	8dc5c6c52784c65d4773ae67dc4eb338fb2a76a6f4cc742ddc160c0ebe8f907e	7684f052fad8dc6df2e27944a16ace31d5248164b6492f84b0e99737e7a74764	69005890	11473114	6fee49293e0d316b2b337f56bc3dfc27895b0aa55a117dda695dd39085ad1f21	02b9399e46ff42b3e1c7400475747138b1ec4a684ef88c3ebc21a9073fb2532e
archive_notrace__Oz	archive_notrace	Oz	WsfBufInit	0x00530364	0x00530446	WsfBufInit	source-order semantics, globals/literals, sole BL caller 0x004B7F7C	164	226	-62	no	no	3e4665d872225688634209ec8c7c841f5fd327573374ca972ec41a03c86506c8	a12554f557b86906d3442ef2ba4a69d33c433d5e226d5976c1b1767140fc5605	7b83fc292ebba92a4113013dba3e7b483a32784c5d23e7bd5f4c91f2cb89c86f	edbff8a0b6e13119e93c7408f42a6d7d186713ec06a3159e678d4b895242be61	70569045	12987637	6002826f45b1812457a60fff80623b458d486a6c71ba2abf458f615fe6e054d2	08e1f2d3988be7e3cc1789a0046501ef68627c066203c83fbe921b33300fc1fd
archive_notrace__Oz	archive_notrace	Oz	WsfBufAlloc	0x00530446	0x005304D4	WsfBufAlloc	retained source-path/line-321 anchor and 24 direct BL callers	68	142	-74	no	no	56b1ab507866538be53cc6d2abea0812e7a492ad69ecb262bd68aff86093ec3b	307ff7ddc2830031087eff4c703949a9974deb2e81efe9cd4334b06c35d57d48	270089cc32cc33d1a1c172fe3a0dc149b5001b9ff7553a77c338d95161a7d198	117076ee53726b6554d0d05c41665a351615d0e744793fa05437f5a45ccb6151	70569045	12987637	6002826f45b1812457a60fff80623b458d486a6c71ba2abf458f615fe6e054d2	08e1f2d3988be7e3cc1789a0046501ef68627c066203c83fbe921b33300fc1fd
archive_notrace__Oz	archive_notrace	Oz	WsfBufFree	0x005304D4	0x00530512	WsfBufFree	free-magic/config discriminator and 28 direct BL callers	68	62	6	no	no	6625af60779d8e787595b40972e0b6b2151958d0190230dc8a5539579d01fc47	6148f827458d86f257dc4ac8eab53f4eeb9372912249d1181fc835861b5a058f	c403a20df78f86a5dab3b52e9b674bfc701a7b92c93d1f44df0784d186970663	7684f052fad8dc6df2e27944a16ace31d5248164b6492f84b0e99737e7a74764	70569045	12987637	6002826f45b1812457a60fff80623b458d486a6c71ba2abf458f615fe6e054d2	08e1f2d3988be7e3cc1789a0046501ef68627c066203c83fbe921b33300fc1fd
archive_notrace__Oz_nosibling	archive_notrace	Oz_nosibling	WsfBufInit	0x00530364	0x00530446	WsfBufInit	source-order semantics, globals/literals, sole BL caller 0x004B7F7C	164	226	-62	no	no	3e4665d872225688634209ec8c7c841f5fd327573374ca972ec41a03c86506c8	a12554f557b86906d3442ef2ba4a69d33c433d5e226d5976c1b1767140fc5605	7b83fc292ebba92a4113013dba3e7b483a32784c5d23e7bd5f4c91f2cb89c86f	edbff8a0b6e13119e93c7408f42a6d7d186713ec06a3159e678d4b895242be61	73854313	11028116	6fee49293e0d316b2b337f56bc3dfc27895b0aa55a117dda695dd39085ad1f21	02b9399e46ff42b3e1c7400475747138b1ec4a684ef88c3ebc21a9073fb2532e
archive_notrace__Oz_nosibling	archive_notrace	Oz_nosibling	WsfBufAlloc	0x00530446	0x005304D4	WsfBufAlloc	retained source-path/line-321 anchor and 24 direct BL callers	68	142	-74	no	no	56b1ab507866538be53cc6d2abea0812e7a492ad69ecb262bd68aff86093ec3b	307ff7ddc2830031087eff4c703949a9974deb2e81efe9cd4334b06c35d57d48	270089cc32cc33d1a1c172fe3a0dc149b5001b9ff7553a77c338d95161a7d198	117076ee53726b6554d0d05c41665a351615d0e744793fa05437f5a45ccb6151	73854313	11028116	6fee49293e0d316b2b337f56bc3dfc27895b0aa55a117dda695dd39085ad1f21	02b9399e46ff42b3e1c7400475747138b1ec4a684ef88c3ebc21a9073fb2532e
archive_notrace__Oz_nosibling	archive_notrace	Oz_nosibling	WsfBufFree	0x005304D4	0x00530512	WsfBufFree	free-magic/config discriminator and 28 direct BL callers	64	62	2	no	no	e4929eeb18564d2427d1effeb7a0eca99056999aee1a21fc7b6429051082100b	6148f827458d86f257dc4ac8eab53f4eeb9372912249d1181fc835861b5a058f	8dc5c6c52784c65d4773ae67dc4eb338fb2a76a6f4cc742ddc160c0ebe8f907e	7684f052fad8dc6df2e27944a16ace31d5248164b6492f84b0e99737e7a74764	73854313	11028116	6fee49293e0d316b2b337f56bc3dfc27895b0aa55a117dda695dd39085ad1f21	02b9399e46ff42b3e1c7400475747138b1ec4a684ef88c3ebc21a9073fb2532e
