lane	variant	config	symbol	size
stock_warn_seam__Og_nosibling	stock_warn_seam	Og_nosibling	WsfBufGetPoolStats	68
stock_warn_seam__Og_nosibling	stock_warn_seam	Og_nosibling	WsfBufAlloc	116
stock_warn_seam__Og_nosibling	stock_warn_seam	Og_nosibling	WsfBufInit	184
stock_warn_seam__O2	stock_warn_seam	O2	WsfBufDiagRegister	2
stock_warn_seam__O2	stock_warn_seam	O2	WsfBufGetAllocStats	4
stock_warn_seam__O2	stock_warn_seam	O2	WsfBufGetNumPool	12
stock_warn_seam__O2	stock_warn_seam	O2	WsfBufGetPoolStats	72
stock_warn_seam__O2	stock_warn_seam	O2	WsfBufFree	76
stock_warn_seam__O2	stock_warn_seam	O2	WsfBufAlloc	132
stock_warn_seam__O2	stock_warn_seam	O2	WsfBufInit	196
stock_warn_seam__O2_noinline	stock_warn_seam	O2_noinline	WsfBufDiagRegister	2
stock_warn_seam__O2_noinline	stock_warn_seam	O2_noinline	WsfBufGetAllocStats	4
stock_warn_seam__O2_noinline	stock_warn_seam	O2_noinline	WsfBufGetNumPool	12
stock_warn_seam__O2_noinline	stock_warn_seam	O2_noinline	WsfBufGetPoolStats	72
stock_warn_seam__O2_noinline	stock_warn_seam	O2_noinline	WsfBufFree	76
stock_warn_seam__O2_noinline	stock_warn_seam	O2_noinline	WsfBufAlloc	132
stock_warn_seam__O2_noinline	stock_warn_seam	O2_noinline	WsfBufInit	196
stock_warn_seam__O3	stock_warn_seam	O3	WsfBufDiagRegister	2
stock_warn_seam__O3	stock_warn_seam	O3	WsfBufGetAllocStats	4
stock_warn_seam__O3	stock_warn_seam	O3	WsfBufGetNumPool	12
stock_warn_seam__O3	stock_warn_seam	O3	WsfBufGetPoolStats	72
stock_warn_seam__O3	stock_warn_seam	O3	WsfBufFree	76
stock_warn_seam__O3	stock_warn_seam	O3	WsfBufAlloc	132
stock_warn_seam__O3	stock_warn_seam	O3	WsfBufInit	216
stock_warn_seam__O3_noinline	stock_warn_seam	O3_noinline	WsfBufDiagRegister	2
stock_warn_seam__O3_noinline	stock_warn_seam	O3_noinline	WsfBufGetAllocStats	4
stock_warn_seam__O3_noinline	stock_warn_seam	O3_noinline	WsfBufGetNumPool	12
stock_warn_seam__O3_noinline	stock_warn_seam	O3_noinline	WsfBufGetPoolStats	72
stock_warn_seam__O3_noinline	stock_warn_seam	O3_noinline	WsfBufFree	76
stock_warn_seam__O3_noinline	stock_warn_seam	O3_noinline	WsfBufAlloc	132
stock_warn_seam__O3_noinline	stock_warn_seam	O3_noinline	WsfBufInit	216
stock_warn_seam__Os	stock_warn_seam	Os	WsfBufDiagRegister	2
stock_warn_seam__Os	stock_warn_seam	Os	WsfBufGetAllocStats	4
stock_warn_seam__Os	stock_warn_seam	Os	WsfBufGetNumPool	12
stock_warn_seam__Os	stock_warn_seam	Os	WsfBufFree	68
stock_warn_seam__Os	stock_warn_seam	Os	WsfBufGetPoolStats	72
stock_warn_seam__Os	stock_warn_seam	Os	WsfBufAlloc	112
stock_warn_seam__Os	stock_warn_seam	Os	WsfBufInit	164
stock_warn_seam__Os_noinline	stock_warn_seam	Os_noinline	WsfBufDiagRegister	2
stock_warn_seam__Os_noinline	stock_warn_seam	Os_noinline	WsfBufGetAllocStats	4
stock_warn_seam__Os_noinline	stock_warn_seam	Os_noinline	WsfBufGetNumPool	12
stock_warn_seam__Os_noinline	stock_warn_seam	Os_noinline	WsfBufFree	68
stock_warn_seam__Os_noinline	stock_warn_seam	Os_noinline	WsfBufGetPoolStats	72
stock_warn_seam__Os_noinline	stock_warn_seam	Os_noinline	WsfBufAlloc	112
stock_warn_seam__Os_noinline	stock_warn_seam	Os_noinline	WsfBufInit	164
stock_warn_seam__Os_nosibling	stock_warn_seam	Os_nosibling	WsfBufDiagRegister	2
stock_warn_seam__Os_nosibling	stock_warn_seam	Os_nosibling	WsfBufGetAllocStats	4
stock_warn_seam__Os_nosibling	stock_warn_seam	Os_nosibling	WsfBufGetNumPool	12
stock_warn_seam__Os_nosibling	stock_warn_seam	Os_nosibling	WsfBufFree	64
stock_warn_seam__Os_nosibling	stock_warn_seam	Os_nosibling	WsfBufGetPoolStats	68
stock_warn_seam__Os_nosibling	stock_warn_seam	Os_nosibling	WsfBufAlloc	112
