entry,name,body_min,body_max,body_bytes,body_sha256,body_ranges,thunk,external,calling_functions,called_functions
0x000fa9e4,"nrf_fstorage_sd_erase",0x000fa9e4,0x000faa2b,72,37497a0f30c9da5b4c2287c6294739f38c24e47d8d9a675699172ec7648bbde0,"000fa9e4-000faa2b",false,false,"","armcc_memclr@000f846a;nrf_atfifo_item_alloc@000fae2e;nrf_atfifo_item_put@000fae70;queue_start@000fd1a0"
0x000faa30,"nrf_fstorage_nvmc_event_send",0x000faa30,0x000faa65,54,231d971d827e83543f844e0dd658811e064771d926ef387aab1878f3347bf69d,"000faa30-000faa65",false,false,"nrf_fstorage_nvmc_erase@000fa99c;nrf_fstorage_nvmc_write@000fd7d4","armcc_memclr@000f846a"
0x000faa66,"event_send",0x000faa66,0x000faab9,84,5b961510cfbe4ca43cca33c2d5e6009236c79745d93a1ba3585ba540aef2d7ca,"000faa66-000faab9",false,false,"nrf_fstorage_sys_evt_handler@000fbf90;queue_process@000fd104","armcc_memclr@000f846a"
0x000faaba,"ext_err_code_handle",0x000faaba,0x000faac7,14,ba35aaa98385c204cc5f41064121558f88314cee37ea6b3d10eb7d066e3689b3,"000faaba-000faac7",false,false,"nrf_dfu_command_req@000fb5c4;on_data_obj_execute_request_sched@000fc550","ext_error_set@000faad8"
0x000faac8,"ext_error_get",0x000faac8,0x000faad1,10,647195b56ebceb02d0e6557fc1d44ccc4e6802bb22349ce339d8faa498bdfc1f,"000faac8-000faad1",false,false,"ble_dfu_req_handler_callback@000fa060",""
0x000faad8,"ext_error_set",0x000faad8,0x000faadf,8,9daf1ee0cf9fcd1c8887a4f5ec0f42791aa548acf803c8aeda07007295491bc4,"000faad8-000faadf",false,false,"ble_dfu_req_handler_callback@000fa060;ext_err_code_handle@000faaba;nrf_dfu_init@000fb710",""
0x000faafc,"fw_hash_ok",0x000faafc,0x000fab03,8,d1ca462b2b1c56e0a1c2e7cf0aba476b234df16f521e8d3be41a70f86143dbd2,"000faafc-000fab03",false,false,"nrf_dfu_validation_postvalidate_impl@000fcf20",""
0x000fab04,"gap_params_init",0x000fab04,0x000fabd9,214,9a459361967dd05aac14a97ec18f644e9af6d6ad289f87ad2e05f81f67f76561,"000fab04-000fabd9",false,false,"ble_dfu_transport_init@000fa178","memmove@000f841a;armcc_memclr@000f846a;strlen@000f8480;strncmp@000f84a8;app_error_handler_bare@000f9dc4"
0x000fabf4,"hash_result_get",0x000fabf4,0x000fac33,64,af82a60c8767bac6752b56d32023ea0081ee7d4a52fcb1140c5e67709f0947db,"000fabf4-000fac33",false,false,"cc310_bl_backend_hash_sha256_finalize@000fa54c;cc310_bl_backend_hash_sha256_init@000fa594;cc310_bl_backend_hash_sha256_update@000fa5a4",""
0x000fac3c,"image_copy",0x000fac3c,0x000facc7,140,50ecd8b2237a28008a645dbbeb0d5dcd2cfa7ce74b0dd65eec2a540f325192c0,"000fac3c-000facc7",false,false,"nrf_bootloader_app_activate@000f9d78;nrf_bootloader_sd_activate@000fd2a0","nrf_bootloader_wdt_init@000fb1c0;nrf_dfu_flash_erase@000fb6cc;nrf_dfu_flash_store@000fb6f8;nrf_dfu_settings_write_and_backup@000fbae0"
0x000facd4,"nrf_fstorage_nvmc_init",0x000facd4,0x000facdb,8,a344fd2ed6c8849b5075a787ab0ea4c4d393057b71534bb2f569b68d9b18bd74,"000facd4-000facdb",false,false,"",""
0x000face0,"nrf_fstorage_sd_init",0x000face0,0x000fad0d,46,28ff49295eb6ac6c5eccf82069fab52cee8d9e25a0d27d42e7afa7175946e757,"000face0-000fad0d",false,false,"","nrf_atfifo_init@000fae08;nrf_atomic_u32_fetch_or@000fae8c;nrf_sdh_is_enabled@000fc330"
0x000fad18,"nrf_fstorage_nvmc_is_busy",0x000fad18,0x000fad23,12,9409ea849640d70f4fa8db6c4696be986ee7995994fbe949d53d000e96c5e614,"000fad18-000fad23",false,false,"",""
0x000fad28,"nrf_fstorage_sd_is_busy",0x000fad28,0x000fad33,12,5a6ca41d629f68b89ef994ddc19c96f991b80cdda4070c7a613e35532b9a9183,"000fad28-000fad33",false,false,"",""
0x000fad38,"is_major_softdevice_update",0x000fad38,0x000fad8f,88,77a899e56f43d3d70ab4852601ef27dcffeab561db1f57b9bd6e5ddbb5ace729,"000fad38-000fad8f",false,false,"postvalidate@000fcff0",""
