caller_entry,caller_name,callsite,callee_entry,callee_name,reference_type
0x000fa178,"ble_dfu_transport_init",0x000fa1ea,0x000f9d44,"advertising_start","UNCONDITIONAL_CALL"
0x000fa210,"ble_evt_handler",0x000fa242,0x000f9d44,"advertising_start","UNCONDITIONAL_CALL"
0x000fa210,"ble_evt_handler",0x000fa248,0x000f9dc4,"app_error_handler_bare","UNCONDITIONAL_CALL"
0x000fa210,"ble_evt_handler",0x000fa294,0x000faeb2,"nrf_balloc_alloc","UNCONDITIONAL_CALL"
0x000fa210,"ble_evt_handler",0x000fa2a2,0x000f841a,"memmove","UNCONDITIONAL_CALL"
0x000fa210,"ble_evt_handler",0x000fa2ac,0x000f841a,"memmove","UNCONDITIONAL_CALL"
0x000fa210,"ble_evt_handler",0x000fa2bc,0x000fb7c0,"nrf_dfu_req_handler_on_req","UNCONDITIONAL_CALL"
0x000fa210,"ble_evt_handler",0x000fa2c8,0x000faef6,"nrf_balloc_free","UNCONDITIONAL_CALL"
0x000fa210,"ble_evt_handler",0x000fa340,0x000f9dc4,"app_error_handler_bare","UNCONDITIONAL_CALL"
0x000fa210,"ble_evt_handler",0x000fa358,0x000f9dc4,"app_error_handler_bare","UNCONDITIONAL_CALL"
0x000fa210,"ble_evt_handler",0x000fa376,0x000f9dc4,"app_error_handler_bare","UNCONDITIONAL_CALL"
0x000fa210,"ble_evt_handler",0x000fa3a6,0x000fc690,"on_rw_authorize_req","UNCONDITIONAL_CALL"
0x000fa210,"ble_evt_handler",0x000fa3ba,0x000fc468,"on_ctrl_pt_write","UNCONDITIONAL_CALL"
0x000fa3f0,"boot_validate",0x000fa3f8,0x000fbb76,"nrf_dfu_validation_boot_validate","UNCONDITIONAL_CALL"
0x000fa400,"boot_validation_crc",0x000fa408,0x000fa65c,"crc32_compute","UNCONDITIONAL_CALL"
0x000fa40c,"boot_validation_extract",0x000fa426,0x000f846a,"armcc_memclr","UNCONDITIONAL_CALL"
0x000fa40c,"boot_validation_extract",0x000fa42e,0x000f846a,"armcc_memclr","UNCONDITIONAL_CALL"
0x000fa40c,"boot_validation_extract",0x000fa45e,0x000fa65c,"crc32_compute","UNCONDITIONAL_CALL"
0x000fa40c,"boot_validation_extract",0x000fa478,0x000fb320,"nrf_crypto_hash_finalize","UNCONDITIONAL_CALL"
0x000fa40c,"boot_validation_extract",0x000fa48e,0x000f841a,"memmove","UNCONDITIONAL_CALL"
0x000fa40c,"boot_validation_extract",0x000fa498,0x000fbb76,"nrf_dfu_validation_boot_validate","UNCONDITIONAL_CALL"
0x000fa4a4,"bootloader_reset",0x000fa4b8,0x000fb988,"nrf_dfu_settings_backup","UNCONDITIONAL_CALL"
0x000fa4a4,"bootloader_reset",0x000fa4bc,0x000fa978,"__NVIC_SystemReset","UNCONDITIONAL_CALL"
0x000fa4e4,"cc310_backend_mutex_trylock",0x000fa4ea,0x000faea8,"nrf_atomic_u32_fetch_store","UNCONDITIONAL_CALL"
0x000fa54c,"cc310_bl_backend_hash_sha256_finalize",0x000fa562,0x000fa4e4,"cc310_backend_mutex_trylock","UNCONDITIONAL_CALL"
0x000fa54c,"cc310_bl_backend_hash_sha256_finalize",0x000fa568,0x000fa534,"cc310_bl_backend_enable","UNCONDITIONAL_CALL"
0x000fa54c,"cc310_bl_backend_hash_sha256_finalize",0x000fa570,0x000f9670,"nrf_cc310_bl_hash_sha256_finalize","UNCONDITIONAL_CALL"
0x000fa54c,"cc310_bl_backend_hash_sha256_finalize",0x000fa576,0x000fa510,"cc310_bl_backend_disable","UNCONDITIONAL_CALL"
0x000fa54c,"cc310_bl_backend_hash_sha256_finalize",0x000fa57a,0x000fa500,"cc310_backend_mutex_unlock","UNCONDITIONAL_CALL"
0x000fa54c,"cc310_bl_backend_hash_sha256_finalize",0x000fa580,0x000fabf4,"hash_result_get","UNCONDITIONAL_CALL"
0x000fa594,"cc310_bl_backend_hash_sha256_init",0x000fa598,0x000f96d0,"nrf_cc310_bl_hash_sha256_init","UNCONDITIONAL_CALL"
0x000fa594,"cc310_bl_backend_hash_sha256_init",0x000fa5a0,0x000fabf4,"hash_result_get","UNCONDITIONAL_CALL"
0x000fa5a4,"cc310_bl_backend_hash_sha256_update",0x000fa5b0,0x000fa4e4,"cc310_backend_mutex_trylock","UNCONDITIONAL_CALL"
